name,success_probability
SoThree,0.61
Handshakez,0.59
TrueAbility,0.58
Car Guy Nation,0.15
Postmaster,0.42
vArmour Networks,0.26
Mercent Corporation,0.74
Globa.li,0.58
MediaCrossing Inc.,0.7
MobileSpan,0.28
Echolocation,0.17
Plastic Jungle,0.75
Levels Beyond,0.4
Lyatiss,0.79
basno,0.77
7 Billion People,0.47
EatStreet,0.82
Admittance Technologies,0.18
Povio,0.08
FORVM,0.68
eGifter,0.53
The Muse,0.77
Ceterix Orthopaedics,0.82
3D Robotics,0.73
Credit Karma,0.51
Manhattan Labs,0.26
Enigma Technologies,0.66
Nomi,0.9
Placemeter,0.49
shoto,0.27
Recondo,0.74
Exo Labs,0.19
Auction.com,0.46
Eightfold Logic,0.88
Instore,0.88
Veggie Grill,0.28
Moxtra,0.59
GameSkinny,0.05
Quantcast,1.0
SozializeMe,0.11
Share Practice,0.52
Convercent,0.81
Pluto Media,0.14
AlertEnterprise,0.84
The Zebra,0.57
RetailMLS,0.64
AdYapper,0.84
Toppic,0.16
WhoAPI,0.22
Ellevation,0.76
eBrevia,0.47
Shippable,0.62
RUN,0.71
Guide,0.61
Contract Room,0.69
ZestFinance,0.58
IfOnly,0.78
Minneapolis Biomass Exchange,0.1
Revolucionadolabs,0.72
Continuum Analytics,0.11
Little Pim,0.59
Interviewstreet,0.58
ProBueno,0.21
Admitted.ly,0.46
Weathermob,0.44
Lively,0.56
Kinetic Social,0.85
MyTime,0.83
Grand Rounds,0.71
Proximic,0.92
RealScout,0.7
Mobile-XL,0.66
KitCheck,0.61
Wellframe,0.52
Covenant Surgical Partners,0.63
Fantasy Buzzer,0.51
Sustainable Industrial Solutions,0.12
Remedify,0.09
Blue Apron,0.8
Uncovet,0.23
SageCloud,0.58
Scratch Hard,0.32
SIMPLEROBB.COM,0.1
CustomerAdvocacy.com,0.54
Hublished,0.67
Infinio,0.92
PassbeeMedia,0.22
SurpriseRide,0.18
Juristat,0.15
Deliv,0.69
Persado,0.57
"GetJar, Inc.",0.93
Cylance,0.69
IRIS.TV,0.69
Hampton Creek Foods,0.37
Tempo AI,0.59
Kitchensurfing,0.75
Kit Check,0.53
Runscope,0.57
Lasso Media,0.34
QPID Health,0.82
Tinychat,0.81
Home Team Therapy,0.21
Neurotrack,0.33
Podimetrics,0.23
Reify Health,0.21
BlueData Software,0.34
Quad Learning,0.26
Monaeo,0.82
Thinkful,0.55
Yapert,0.52
Nasseo,0.31
HItviews,0.39
NextGreatPlace,0.19
RaftOut,0.08
Wandera,0.58
Vaunte,0.37
Sumpto,0.18
Boatbound,0.48
PernixData,0.91
E4 Health,0.08
ShowKit,0.55
Bolt.io,0.4
Medikly,0.18
streamOnce,0.47
Alminder,0.21
Agolo,0.28
Jifiti.com,0.37
FibeRio,0.32
MyCheck,0.31
Misfit Wearables,0.77
Maple Farm Media,0.21
LIA,0.14
Meldium,0.51
Otozip,0.14
Snaps,0.71
Codenvy,0.3
Outbox,0.58
Pipefish,0.13
vidIQ,0.7
Skytap,1.0
Synapsify,0.19
LivelyFeed,0.1
Armor5,0.84
Black Ocean,0.69
Luminate,0.99
Superfish,0.93
SunnyBump,0.2
SupportLocal,0.48
GlobeIn,0.12
Revolights,0.16
Zady,0.81
Nugg-it,0.09
Mission Critical Electronics,0.16
PaperG,0.31
Sentient Energy,0.35
Wide Open Spaces,0.12
Riskive,0.51
AnsibleWorks,0.57
Carolus Therapeutics,0.58
Lucid Energy,0.07
clypd,0.92
Looker,0.61
Illumio,0.56
AdStage,0.79
Slate Science,0.25
Dead Inventory Management System,0.08
Scale Computing,0.97
Matterport,0.53
Alloy Digital,0.35
KannaLife Sciences,0.12
Attentive.ly,0.39
Quandora,0.33
HipLogiq,0.3
Bitglass,0.45
Biba,0.84
Front Desk HQ,0.21
Crowd Supply,0.24
Plandree,0.22
OnTheRoad,0.13
Keepy,0.73
Ahalogy,0.24
Thoughtly,0.04
LOOKCAST,0.35
SwiftStack,0.56
Wildfang,0.24
DeskGod,0.09
Vasona Networks,0.7
Fluencr,0.29
Radio Runt Inc.,0.56
AdhereTech,0.79
URX,0.95
SmartyPants Vitamins,0.2
Domino Street,0.39
Golden Reviews,0.12
Medtric Biotech,0.04
EasyPost,0.25
Weemo,0.82
Rollbar,0.14
Startup Quest,0.19
ID.me,0.57
FlashStarts,0.16
Namo Media,0.43
FindMySong,0.65
LearnUp,0.24
Human Demand,0.31
StrongLoop,0.81
ApplyKit,0.13
Curried Away Catering,0.1
L4 Mobile,0.36
Scayl,0.24
One4All,0.19
Red e App,0.57
Nearpod,0.37
Concurrent Inc,0.86
Vidaao,0.72
Learning Hyperdrive,0.16
in3Dgallery,0.08
PeopleLinx,0.82
Shop Hers,0.3
AppNeta,0.9
Hang w/,0.63
SingWho,0.17
SquareOne,0.05
Bettyvision,0.11
Artist Growth,0.36
DC Devices,0.48
P2 Science,0.25
Skinny Mom,0.73
MessageMe,0.81
RelateIQ,0.83
CrowdFeed,0.03
Time To Cater,0.31
Genapsys,0.47
LoopFuse,0.82
SocialThreader,0.18
Ancera,0.12
ElectNext,0.35
LE TOTE,0.56
ZeaKal,0.11
Realty Mogul,0.2
Choose Energy,0.69
Eqalix,0.05
PointsHound,0.1
Asurvest,0.24
Click & Grow,0.08
dreamsha.re,0.12
Bina Technologies,0.82
RSI (Reel Solar Inc),0.44
PrestoBox,0.05
ReadyDock,0.13
Relationship Science,0.79
PowWowHR,0.37
MailLift,0.15
Proximal Data,0.35
Algenetix,0.09
Good.Co,0.62
Propeller Health,0.76
SeatKarma,0.07
AppZero,0.68
Dealer Ignition,0.75
Sentimed Medical Corporation,0.71
Course Hero,0.82
Precision for Medicine,0.34
BusyLife Software,0.14
Mic Network,0.49
SignalFuse,0.27
Pickwick & Weller,0.43
MD Insider,0.36
Crispy Gamer,0.13
MaxTradeIn.com,0.7
Floored,0.62
Digby,0.82
VividCortex,0.34
AdviceIQ,0.11
NowThis News,0.32
Handle,0.52
Retrace,0.21
Canvas,0.97
PeepsOut Inc.,0.29
SimplyTapp,0.17
Avere Systems,0.92
Kinsa,0.3
Shopgate,0.79
Traffio,0.19
Bountysource,0.37
Cydan,0.33
First30Days,0.56
Just Sing It,0.58
Syros Pharmaceuticals,0.51
Joint Loyalty,0.19
Tynker,0.68
AgBiome,0.27
RackWare,0.15
Vastrm,0.37
Idibon,0.2
Lytics,0.84
MyLikes,0.91
Arkami,0.64
UnboundID,0.79
Optify,0.98
Sharalike,0.15
BEAT BioTherapeutics,0.09
built.io,0.81
Cognitive Match,0.79
Simulmedia,0.92
Brandcast,0.43
VisualCV,0.83
Iora Health,0.36
Adarza BioSystems,0.08
Jama Software,0.65
Radiate Media,0.75
Gridstore,0.78
Ionic Security,0.6
FitBionic,0.11
Relypsa,0.95
Rebit,0.87
LiquidPlanner,0.89
Brandfolder,0.52
Yellowsmith,0.33
ZetrOZ,0.19
InVitae,0.33
SmartZip Analytics,0.82
Keas,0.99
Gainspeed,0.75
PayTango,0.69
Cervel Neurotech,0.28
Infer,0.32
ParLevel Systems,0.24
Bioceptive,0.09
TopSchool,0.65
33Across,0.99
Qubole,0.77
thredUP,0.8
Poken,0.82
Powervation,0.87
Pivotal,0.51
PresenceLearning,0.63
BookShout!,0.28
Clustrix,0.98
Dash Software,0.24
Moonfrye,0.4
Topera,0.4
Conventus Orthopaedics,0.4
GridCOM Technologies,0.07
WhereverTV,0.07
Scioderm,0.4
Plated,0.74
TapShield,0.67
SupplyHog,0.27
Drifty,0.18
Conspire,0.2
Maker's Row,0.5
LightSail Education,0.64
Foursquare,1.0
BlackbookHR,0.68
Magnetic,0.99
PaintZen,0.25
F.8 Interactive,0.14
Snapcious,0.25
Clinkle,0.85
Compare Metrics,0.44
LibriLoop,0.07
CashStar,0.95
Play-i,0.71
ChronoWake,0.05
nChannel,0.15
Crimson Hexagon,0.95
SCVNGR,0.87
Axcient,0.99
"Madison Reed, Inc.",0.2
Kapitall,0.92
Q Factor Communications,0.79
Channel Medsystems,0.19
AVA.ai,0.43
Curious.com,0.6
MyNewFinancialAdvisor,0.17
Vivify Health,0.04
GameChanger Media,0.75
Snipi,0.18
Medlert,0.37
Greekdrop,0.05
Z2Live,0.88
SwapBeats,0.7
BioBeats,0.75
Fundation,0.48
Minbox,0.73
LendKey Technologies,0.81
Livescribe,0.86
AvantCredit,0.49
PayClip,0.6
AppCard,0.78
Ranker,0.88
Prompt.ly,0.24
Muzzley,0.61
Tongal,0.67
Lumena Pharmaceuticals,0.65
Plures Technologies,0.06
Supply Vision,0.12
Pict,0.3
Boosterville,0.1
Eko Devices,0.11
GiveCorps,0.15
uParts,0.18
betaworks,1.0
1World Online,0.75
qcue,0.14
Zoobean,0.15
tracx,0.87
dloHaiti,0.34
Everwise,0.5
Melon #usemelon,0.04
Pangea,0.51
Cardinal Midstream,0.15
T5 Data Centers,0.38
CellScape,0.7
Chartbeat,0.97
Airware,0.27
PingMD,0.16
One Kings Lane,0.98
DIIME,0.04
Givkwik,0.09
Project Repat,0.07
Volta Industries,0.3
WeVorce,0.44
HyTrust,0.96
Active Life Scientific,0.1
Apexigen,0.16
Effector Therapeutics,0.26
Suniva,0.83
Justworks,0.42
Ninja Metrics,0.41
ExtraHop Networks,0.92
ShopPad,0.34
FiscalNote,0.83
LinguaSys,0.26
Heapsylon,0.14
Oculus VR,0.69
Zola Books,0.64
Basho Technologies,0.97
DanceOn,0.41
Eos Energy Storage,0.32
BoardEvals,0.18
popexpert,0.66
Gamgee,0.11
Skyhigh Networks,0.87
Subsidence,0.09
OPX Biotechnologies,0.89
Foundation Radiology Group,0.47
AlephCloud Systems,0.35
Union Bay Networks,0.44
Swivl,0.08
Zula,0.33
"Numerate, Inc",0.28
YesGraph,0.26
SpotXchange,0.97
Inceptus Medical,0.23
SolarEdge,0.75
InStream Media,0.85
Cozi,0.22
Stemgent,0.72
SimpleRelevance,0.85
Novira Therapeutics,0.59
Neuros Medical,0.36
Mission Markets,0.11
Limeade,0.94
Tipbit,0.36
Sqwiggle,0.63
Cotap,0.37
Benson Hill Biosystems,0.05
GeneriCo,0.1
Vuzit,0.68
Mixbook,0.87
SocialRadar,0.62
DataSphere,0.97
Samasource,0.97
Greenhouse Software,0.76
Variable,0.1
Alios BioPharma,0.74
Qspex Technologies,0.6
Nanostim,0.62
Reflex Systems,0.36
DataXu,0.99
Complexa,0.18
Linea,0.27
SquareHub,0.58
NASOFORM,0.15
Ineda Systems,0.25
Moximed,0.32
Benu Networks,0.45
Happy Cloud,0.55
"ChargePoint, Inc.",0.96
Freight Farms,0.31
August,0.66
PillPack,0.27
BlueStripe Software,0.95
Mobiscope,0.24
Solavei,0.27
Nitride Solutions,0.11
WellNow Urgent Care Holdings,0.7
Given Goods,0.26
Shopventory,0.43
Dering Hall,0.24
DapperJobs,0.31
GoingOn,0.9
Cohealo,0.1
Minetta Brook,0.34
AtheroMed,0.27
MyEdu,0.27
Whistle,0.77
Seeq,0.23
Sharegate,0.06
Edge Therapeutics,0.24
SnapMD,0.13
Kumu Networks,0.79
Movable,0.27
BYTEGRID,0.37
Mind Pirate,0.17
Dragon Innovation,0.32
Handshake,0.64
Mattermark,0.28
Versium Analytics,0.17
HouseTab,0.63
Resonate Networks,0.58
Riskonnect,0.18
Boutique Window,0.09
Companion Pharma,0.12
Apse,0.17
WHILL,0.75
SnowGate,0.71
LiveSafe,0.16
Edimer Pharmaceuticals,0.73
BitSight Technologies,0.42
WeMonitor,0.12
NextUser,0.74
Parent Media Group,0.23
ImmunGene,0.09
HEXIO,0.05
Oculeve,0.32
Mobisante,0.22
Cuyana,0.18
ShareMagnet,0.77
Rockerbox,0.23
Piiku,0.32
Metropolist,0.22
Stellarray,0.09
Acera Surgical,0.1
SurgeryEdu,0.06
GumGum,0.98
Dashbell,0.48
PasswordBox,0.84
First Cut Pro,0.07
Startup Weekend,0.98
Eucalyptus Systems,0.96
Boreal Genomics,0.71
Taggs,0.1
nGage Labs,0.72
Everpath,0.21
Banyan Branch,0.69
Recognition PRO,0.24
Anki,0.66
Dispop,0.24
FreeWheel,0.93
nCino,0.16
Optyn,0.16
Zubie,0.52
Modus eDiscovery,0.25
Knightscope,0.15
Mashape,0.93
Kidlandia,0.73
Sverve,0.65
Shake,0.81
Kroll Bond Rating Agency,0.44
Navigenics,0.6
awe.sm,0.81
ChartSpan Medical Technologies,0.42
Silicon Valley Data Science,0.16
Symform,0.93
Circular Energy,0.06
Array Health Solutions,0.5
Gridium,0.18
Xquva,0.09
m.Labs,0.22
ABPathfinder,0.5
Amaranth Medical,0.15
Elevance Renewable Sciences,0.92
TB Biosciences,0.16
Kaleo Software,0.57
Acceptd,0.15
Phone2Action,0.28
KAIZEN platform,0.36
Takes,0.19
AcuityAds,0.65
ALOHA,0.8
textPlus,0.86
VoAPPs,0.05
drchrono,0.92
Monthlys,0.26
Fuhu,0.79
Resonate,0.92
Idhasoft,0.22
Ziklag Systems,0.45
CleanEdison,0.39
Vehcon,0.14
BME,0.09
Rocketrip,0.28
See Me Group,0.7
Paxata,0.68
Square,1.0
DonorPath,0.12
Endeavor Energy,0.17
Pagevamp,0.28
Darby Smart,0.21
Shyp,0.8
VentureHire,0.08
ColdLight Solutions,0.35
cycleWood Solutions,0.05
Level,0.6
SkyFuel,0.66
Tiggly,0.47
Copley Retention Systems,0.13
Neon labs,0.21
MedCity News,0.08
VelociData,0.21
Front Stream Payments,0.72
DiVitas Networks,0.39
Locket,0.56
RedBrick Health,0.85
Sparkplay Media,0.66
Ranku,0.44
Shareaholic,0.93
Zazma,0.26
Glympse,0.86
Sher.ly Inc.,0.2
Sentinel,0.28
Qlika,0.11
ONDiGO CRM,0.05
Sand 9,0.93
Pigeonly,0.25
Create (Real Estate),0.09
Trov,0.6
Hedvig,0.48
Attendware,0.25
Lastline,0.68
Decision Pace,0.2
Amulyte,0.29
PurThread Technologies,0.18
DataTorrent,0.6
NuMedii,0.37
TheraVid,0.2
Enchanted Diamonds,0.14
MustBin,0.33
Scifiniti,0.25
Tigo Energy,0.96
Zetta,0.83
Coherus Biosciences,0.49
eCommHub,0.48
HighGround,0.34
OpenGov,0.58
Catalyze,0.29
SilverCloud Health,0.19
DoubleVerify,1.0
HAUL,0.38
Marketcetera,0.32
Symvato,0.22
FanBridge,0.78
Groupize.com,0.8
SEWORKS,0.78
FloQast,0.16
ROSTR,0.18
FIGS,0.23
HealthPocket,0.27
ProtoExchange,0.2
Partly Mobile,0.05
Workers On Call,0.03
Social Solutions,0.74
Deep Domain,0.24
2nd Watch,0.69
HuntForce,0.15
Real Food Works,0.6
WebAction,0.59
DropThought,0.51
PlantSense,0.33
NVoicePay,0.14
Allakos,0.41
Phynd Technology,0.16
eduClipper,0.57
Privy,0.44
Touchbase,0.17
Shuttersong,0.64
DriveFactor,0.68
30 Second Showcase,0.21
BuzzFeed,1.0
Opsmatic,0.58
HealthLoop,0.79
Viralheat,0.89
Lattice Engines,0.9
dscovered,0.08
Concert Pharmaceuticals,0.92
Synthego,0.26
Lob,0.28
MedGRC,0.08
takokat,0.33
Drill Map,0.54
CrowdComputing Systems,0.84
TrakBill,0.42
CaseRails,0.16
ReelGenie,0.2
Max Planck Florida Institute,0.05
Tolera Therapeutics,0.2
Loop Commerce,0.28
Angle,0.32
Lift Labs,0.17
Sensentia,0.19
Vaultive,0.89
AxioMx,0.32
7signal Solutions,0.14
Moleculera Labs,0.11
APROOFED,0.09
Swink.tv,0.6
ArborMetrix,0.55
Coherent Path,0.11
spigit,0.8
"Sphere (Spherical, Inc.)",0.3
UpCity,0.67
Tetra Discovery,0.11
VGTI Florida,0.1
Stratos Genomics,0.33
gloStream,0.56
Sofa Labs,0.84
Life360,0.91
CampusTap,0.1
Financial Guard,0.3
Eponym,0.79
Cartiva,0.34
SafetyPay,0.46
iRhythm Technologies,0.95
HealthWarehouse.com,0.18
Notice Software,0.15
Mitro,0.69
lensgen,0.4
Estimote,0.8
Reverb.com,0.15
Boardvote Inc.,0.18
Crowdly,0.35
OutSmart Power Systems,0.18
Blurtt,0.48
Defense.net,0.29
Celtra Inc.,0.95
Traycer Diagnostic Systems,0.1
Kickstarter,0.97
My Ad Box,0.04
Imimtek,0.28
Audiodraft,0.38
Stayful,0.37
Pressgram,0.09
Fliptop,0.79
InteliCloud,0.14
Illumagear,0.18
LaunchTrack,0.12
TROVE Predictive Data Science,0.5
Quirky,0.95
ShopSavvy,0.78
Fulcrum Bioenergy,0.72
UpTap,0.1
Oomba,0.46
Consumer Brands,0.07
Oscar,0.43
Trunk Club,0.75
Lingotek,0.85
Rive Technology,0.92
Sunrun,0.85
Stion,0.7
RingRevenue,0.92
Stumpedia,0.16
Kythera Biopharmaceuticals,0.99
ClickFuel,0.62
Usermind,0.3
Telly,0.85
CRAVE,0.26
Zero Motorcycles,0.61
Fashion GPS,0.32
"Moxie Software, Inc.",0.98
Harbour Antibodies,0.32
Nimble TV,0.79
WiTricity,0.93
Arisdyne Systems,0.16
Xenex Disinfection Services,0.15
SwapMob,0.07
Windsor Circle,0.56
vIPtela,0.5
Skillbridge,0.17
Fara,0.12
AthletePath,0.13
Foneshow,0.24
DescribeMe,0.04
ACT Biotech,0.35
SciAps,0.23
TightDB,0.25
OnlineSheetMusic,0.13
EdeniQ,0.9
Sauce Labs,0.96
OneMorePallet,0.06
Ezoic,0.75
"Kiwi, Inc.",0.48
younity,0.65
gozent,0.08
Glycos Biotechnologies,0.65
Miragen Therapeutics,0.83
Astute Medical,0.76
Novasentis,0.65
Amplience,0.71
iQCoPay,0.17
AboutUs.org,0.62
Pwnie Express,0.79
LegalReach,0.19
SurroundsMe,0.15
Urban Airship,0.99
Solar Junction,0.83
Bolster,0.45
Vubiquity,0.48
Register My Info«,0.26
Signal Data,0.71
Littlecast,0.25
Claim Maps,0.21
Transcend Medical,0.77
Carmot Therapeutics,0.08
Raynforest,0.2
MyTraining,0.26
SoundRoadie,0.09
Scopix,0.21
RxVantage,0.83
Freeosk Inc,0.15
Personalized Beauty Discovery,0.16
GELI,0.29
OnBeep,0.46
Tow Choice,0.07
Pharmly,0.11
BuildersCloud,0.7
View the Space,0.29
Map Decisions,0.14
Brazen Careerist,0.8
UserTesting.com,0.39
Kypha,0.06
C9 Inc.,0.79
SLIC games,0.02
Happify,0.81
PhoRent,0.27
Sagent Pharmaceuticals,0.16
Biozone Pharmaceuticals,0.15
Zypsee,0.19
Talenthouse,0.98
Ideal Power,0.25
CalciMedica,0.47
ThirdLove,0.49
CurTran,0.38
Lightwave Power,0.15
BioStable,0.05
Vizerra,0.67
RiffTrax,0.21
TVU Networks,0.75
Applied Genetics Technologies Corporation,0.45
Silicor Materials,0.88
Solix Biofuels,0.51
1366 Technologies,0.87
IceBreaker,0.64
IdeaPaint,0.57
Sticher,0.07
Versartis,0.93
Cempra,0.71
"Orasi Medical, Inc.",0.12
Spreedly,0.69
Cervilenz,0.28
Virdia,0.78
Trevena,0.76
Solexant,0.77
ShoutEm,0.69
Collecta,0.69
OwnEnergy,0.8
D.light Design,0.84
InSync Software,0.57
CSID,0.49
Redux,0.82
NGM Biopharmaceuticals,0.8
FORMA Therapeutics,0.77
Y Combinator,0.92
Inkling,0.56
GuestCentric Systems,0.41
Buzzient,0.9
SolarReserve,0.71
2U,0.99
Raptr,0.94
Yasmo,0.24
Global Fitness Media,0.26
Siluria Technologies,0.94
Actinobac Biomed,0.06
Accellos,0.67
FertilityAuthority,0.2
Small Bone Innovations,0.51
Parasol Therapeutics,0.53
GoldSpot Media,0.94
Sportsmanias,0.03
Panorama Education,0.79
Ocular Therapeutix,0.72
RivalHealth,0.14
Prevently,0.66
Bell Biosystems,0.16
Personal,0.92
NewsMaven,0.13
EVO Media Group,0.45
Lycera,0.68
Social Toaster,0.18
PRSM Healthcare,0.05
Covario,0.9
SendMe,0.94
Easel Learn,0.12
Kimerick Technologies,0.5
Maginatics,0.77
Autobook Now,0.43
TrendKite,0.19
Unite Us,0.25
mWater,0.18
Myfacepage,0.31
Servergy,0.39
Omni-ID,0.46
CourseWeaver,0.17
eClinic Healthcare,0.11
Si2 Microsystems,0.22
SpinMedia,1.0
emoteShare,0.09
Physicians Interactive,0.89
TARIS Biomedical,0.94
RunTitle,0.24
Databox,0.22
Abodo,0.1
Vestagen Technical Textiles,0.32
dMetrics,0.48
Inspire Medical Systems,0.67
Spiracur,0.76
BiOptix Inc.,0.11
Maxymiser,0.93
Catch.com,0.59
MojoPages,0.86
VytronUS,0.37
High Gear Media,0.93
Energy Excelerator,0.61
MicroTransponder,0.11
SalonBooker,0.51
Coskata,0.95
ChallengePost,0.73
R2 Semiconductor,0.72
Sproutling,0.67
Issuu,0.79
DeciZium,0.75
Arkeo,0.14
Hyperion Therapeutics,0.95
Mine,0.1
Promoter.io,0.17
Howcast,0.68
Set.fm,0.07
SL8Z | CrowdSourced Recruiting,0.07
"AutoWeb, Inc.",0.19
Gocella,0.75
StyleCaster,0.96
Keaton Row,0.42
AltaRock Energy,0.96
Epy.io,0.17
BillShrink,0.91
y prime,0.08
Second Light,0.07
Engineered Carbon Solutions,0.08
Grain Management,0.21
Stroho,0.05
Celebrations.com,0.71
9Lenses,0.18
Curiosidy,0.12
AutoShag,0.09
Edtrips,0.17
HealthID Profile,0.16
Teambox,0.8
Outbrain,1.0
Salsify,0.45
HourlyNerd,0.12
Pixel Press,0.25
Project Travel,0.14
BOLD Guidance,0.16
Lively Inc.,0.22
Beepi,0.15
MXD3D,0.23
Distill,0.29
Simplilearn,0.38
Homesnap,0.79
Savara Pharmaceuticals,0.76
Inception Sciences,0.28
Tarpon Towers,0.22
ShomoLive,0.26
Philadelphia School Partnership,0.11
GreenBytes,0.84
BookingPal,0.35
Striped Sail,0.13
Graphene Frontiers,0.09
Indi Molecular,0.21
GIDEEN,0.15
NewTide Commerce,0.09
Droplr,0.18
Designer Pages Online,0.26
Cureatr,0.7
Enmetric Systems,0.17
"Famigo, Inc.",0.04
Precipio Diagnostics,0.35
ustyme,0.16
Synergis Education,0.47
Revenew,0.19
Kids360,0.08
HealthyMe Mobile Solutions,0.13
Continuity Engine,0.44
APE Systems,0.16
Netskope,0.91
Edevate,0.44
OLX,0.84
Kingdom Scene Endeavors,0.55
Tailwind,0.34
Evolve IP,0.61
DeliRadio Concert Network,0.71
NeoChord,0.39
IXC Global,0.13
Operating Analytics,0.21
Newzulu USA,0.25
Exiles,0.68
Cove Financial Group,0.05
World Business Lenders,0.55
Iris Mobile,0.36
GadgetATM,0.07
Curse,0.61
The Fabric,0.22
Jelli,0.83
RecordSetter,0.74
Zumi Networks,0.14
Drink Up Downtown,0.28
Cuipo,0.13
Photofy,0.31
Whole Sale Fund,0.09
iGuiders,0.34
Boxer,0.19
G1 Therapeutics,0.36
Clinical Ink,0.11
Fortscale,0.4
Bleacher Report,0.81
TextPower,0.06
Cianna Medical,0.5
Appetas,0.11
Binfire,0.15
Sweetspot Intelligence,0.22
Superpedestrian,0.26
Rocket Lawyer,0.93
1stGig.com,0.22
LifeGuard Games,0.14
Zosano Pharma,0.83
Nutonian,0.55
CareLinx,0.13
YaBeam,0.06
Catchpoint Systems,0.58
mVakil,0.11
shopkick,0.92
PT PAL,0.06
Shakti,0.07
RapidMiner,0.92
Prairie Cloudware,0.15
Tioga Energy,0.89
Topple Track,0.13
Central Desktop,0.82
Twelve,0.22
Kickserv,0.77
Campus Quad,0.1
Nurix,0.17
CloudLock,0.85
Calysta Energy,0.23
RPLY,0.04
Euclises Pharmaceuticals,0.09
DidLog,0.18
Mode De Faire,0.03
Terrajoule,0.54
Prometheus Energy,0.22
ComQi,0.72
9Mile Labs,0.11
Opternative,0.23
Energy Harvesters LLC,0.14
Action Online Publishing,0.1
Phi Optics,0.1
Jack Erwin,0.17
Espresso Logic,0.57
Jut Inc,0.73
Mzinga,0.94
Infolinks,0.68
Obiesoft,0.13
ApplyInc.com,0.16
Compumatrix,0.7
Drop Ætil you Shop,0.17
Validic,0.31
LoanLogics,0.22
VideoIQ,0.88
Maxta,0.34
Oceanshalo,0.13
Oris4,0.48
TouchBistro,0.35
Knozen,0.35
Lumense,0.14
eBooks in Motion,0.15
Phreesia,0.99
QualtrÚ,0.65
iZ3D,0.09
WinLoot.com,0.11
CyberCity 3D,0.34
CloudCrowd,0.91
LiveExercise,0.12
Bliss Healthcare,0.22
"Trajectory, Inc.",0.23
Mixpanel,0.87
Genera Energy,0.44
ScreenMedix,0.06
Allergen Research Corporation,0.2
Glassful,0.16
Niche.co,0.39
AGAVOO VideoConferencing,0.22
L'Idealist,0.41
ABSMaterials,0.26
Mouth Foods,0.29
ActX,0.14
Arctic Wolf Networks,0.61
Manta,0.39
Codeanywhere,0.26
YCharts,0.47
Mixamo,0.86
BidRazor,0.18
LiveRail,0.83
Coda Automotive,0.77
An Estuary,0.1
Cerulean Pharma,0.98
RethinkDB,0.97
Quest Inspar,0.09
Playnery,0.54
Sweetgreen,0.59
FanChatter,0.28
Little Duck Organics,0.18
LocalLux,0.05
OpenDNS,0.91
SmartCloud,0.18
Graphenea,0.08
Convey Computer,0.56
Power Assure,0.98
EcoMotors,0.9
Useful Systems,0.29
ecomom,0.92
RatingBug,0.09
Ampulse,0.82
ROBLOX,0.77
Asana,0.98
DNAnexus,0.81
Innovid,0.94
Bill.com,0.99
Vuze,0.96
Next Big Sound,0.86
SendGrid,0.99
Graphicly,0.91
Rezora,0.36
Phonezoo,0.68
DecisionDesk,0.33
ForSight Labs,0.42
Panaya,0.96
Rapid Micro Biosystems,0.44
Pelican Imaging,0.95
Tripology,0.63
ScanDigital,0.19
Parsely,0.89
BStock Solutions,0.28
Opower,0.97
GreenLink Networks,0.13
Grafighters,0.17
"IZEA, Inc.",0.95
Intelligent Clearing Network,0.26
ShoutNow,0.08
MobileIron,0.96
Socialware,0.41
Fashion Playtes,0.89
Apptio,0.99
PodTech,0.7
ClearFit,0.92
Yummly,0.83
Jingle Punks Music,0.86
AGLOGIC,0.18
Nobex Technologies,0.03
eVendor Check,0.06
Vdopia,0.84
Fanbase,0.37
Complete Genomics,0.95
Janrain,0.97
WOWIO,0.5
CalStar Products,0.87
FooPets,0.2
UpWind Solutions,0.72
Solasta,0.19
Inovus Solar,0.09
StuffBuff,0.24
Tech Cocktail,0.5
Bloom Health,0.44
OxiCool,0.05
TwinStrata,0.93
FRX Polymers,0.52
TalkShoe,0.89
MOTA Motors,0.49
Yext,0.99
BiOM,0.93
woodpellets.com,0.61
LearnVest,0.94
Soraa,0.97
FireHost,0.7
Zumobi,0.88
Tapjoy,1.0
Appolicious,0.69
Change.org,0.94
Rackup,0.25
Retailigence,0.89
Breakthrough Behavioral,0.86
Skydeck,0.16
Okta,0.98
Virtustream,0.9
Rethink Robotics,0.97
BlenderHouse,0.1
Crono,0.11
CoolHotNot Corporation,0.75
SeatGeek,0.91
Zuora,1.0
inDinero,0.88
Miramar Labs,0.77
InnomiNet,0.07
Lotame,0.95
Jivox,0.75
Skimble,0.73
Centrl,0.13
ShareThis,1.0
Dreamerz Foods,0.13
Localytics,0.95
HaveMyShift,0.7
Kijubi,0.67
Schoology,0.73
SpareFoot,0.71
Sientra,0.69
iTwixie,0.07
Udemy,0.86
Wikia,0.99
CitySourced,0.45
Tube2Tone,0.1
Cogentus Pharmaceuticals,0.59
Zayo Bandwidth,0.32
Voyage Medical,0.82
CareCloud,0.97
Segetis,0.53
Vibrynt,0.76
Recurly,0.82
Vivaldi Biosciences,0.21
Akebia Therapeutics,0.9
Roomorama,0.89
Gnip,0.96
Wrike,0.61
Soane Energy,0.16
Adly,0.86
Upward Mobility,0.15
Perfecto Mobile,0.89
Sungevity,0.91
PaySimple,0.81
CardiAQ Valve Technologies,0.56
IngBoo,0.31
Octopart,0.8
Roambi,0.7
